mouse_x,mouse_y,plane_x,plane_y,plane_direction
981, 40, 764, 42, 1
317, 130, 548, 122, -1
1141, 74, 1221, 299, 2
95, 258, 371, 238, -1.5
693, 22, 1089, 152, -1.5
598, 155, -38, 277, 1
1079, 43, 814, 26, 1
1284, 252, 542, 144, 2
50, 414, 142, 186, -1
981, 152, -97, 43, -1
1138, 78, 1093, 248, 1
1231, 373, 1042, 267, 1
89, 385, 215, 264, -1.5
21, 238, 167, 12, -1.5
209, 214, 489, 74, -1.5
63, 332, -67, 236, -1
908, 22, 899, 275, -1
173, 106, 428, 87, -1.5
91, 341, 21, 275, -1
760, 79, 691, 165, -1.5
239, 165, 928, 175, 1.5
824, 169, 762, 278, -2
1143, 429, 409, 149, 1.5
32, 238, 191, 142, -1.5
901, 76, 813, 146, -1.5
1139, 278, 123, 153, 1
19, 407, -15, 138, -1.5
762, 133, 1035, 97, -1.5
138, 139, 404, 109, -1
1146, 234, 782, 200, 1.5
1161, 361, 669, 149, 1
1137, 252, 790, 250, 1
452, 136, 240, 170, 1
825, 128, 208, 20, -1.5
1138, 176, 844, 50, 1
1005, 52, 751, 59, 1
505, 120, 1148, 162, -2
566, 120, 486, 141, 1
414, 40, -53, 46, -1
94, 405, 541, 18, -1
332, 83, 1273, 133, -1
985, 36, 218, 249, -1
1247, 348, -79, 242, 2
1156, 318, 511, 157, -1.5
1216, 330, 1147, 116, 1
1191, 287, 383, 290, 1
1244, 261, 1024, 68, 1
41, 184, 360, 141, -1
1206, 440, 360, 211, 1.5
1045, 211, 724, 183, 1
850, 98, 767, 168, -1
226, 160, 480, 228, -1
1043, 214, -71, 283, 1
106, 181, 282, 272, -2
1229, 336, 1002, 175, 1
1085, 203, 885, 104, -1.5
1112, 175, 335, 223, 2
141, 181, 370, 149, -1.5
398, 219, 406, 248, 1
1047, 113, 1130, 36, -1.5
103, 258, 282, 190, -1.5
1245, 307, 473, 241, 1.5
715, 167, 613, 241, 1
821, 240, 771, 268, -1.5
1252, 427, 1007, 252, 1.5
1114, 98, 856, 22, 1
938, 189, 895, 210, -1
1155, 181, 856, 104, 1
45, 412, 153, 193, -1.5
1235, 180, 636, 183, 1.5
535, 73, 481, 104, 1
1187, 260, 804, 282, 1
996, 99, 804, 144, -1
690, 48, 1238, 125, 1.5
1124, 109, 783, 65, 1.5
106, 153, 349, 131, -1
911, 113, 371, 195, -2
603, 102, 1222, 120, -1.5
1066, 147, 682, 129, 2
1102, 205, 681, 234, 1
20, 167, 1047, 157, -2
72, 349, 248, 258, -1.5
564, 175, 461, 165, 2
1099, 241, 273, 10, 2
768, 83, 770, 193, -2
60, 301, 285, 238, -1
803, 55, 781, 50, -1
27, 289, 928, 205, -1
469, 185, 1179, 61, -1
426, 112, 593, 114, -1.5
308, 45, 379, 7, 1
257, 180, 483, 219, -1.5
58, 172, 255, 15, -1.5
81, 150, 483, 214, -1
158, 389, 295, 261, -1.5
964, 171, 453, 197, 1.5
74, 297, -63, 170, -1.5
36, 296, 87, 132, -1
1170, 79, 874, 25, 1
900, 137, 793, 206, -1
1222, 389, 293, 201, 1
1222, 216, 938, 179, 1
985, 188, 742, 169, 2
403, 187, 349, 153, 1
1236, 381, 987, 274, 1
304, 199, 539, 193, -1.5
683, 125, 545, 114, 1
191, 126, -86, 280, -1
1195, 199, 153, 268, 1
610, 157, 638, 235, -1
1249, 304, -40, 34, 1.5
719, 134, 595, 73, 1.5
1231, 260, 897, 233, 1
1153, 96, 590, 222, 1
2, 340, 197, 253, -1
37, 334, 263, 189, -1.5
1116, 120, 823, 90, 1.5
1267, 193, 962, 39, 2
1241, 304, 791, 72, 2
1103, 187, 407, 72, 1
1127, 113, 825, 77, 1.5
10, 356, 592, 207, -2
223, 226, 457, 207, -1.5
967, 199, 687, 262, 1.5
429, 213, 1259, 182, -1.5
193, 137, 425, 80, -1
478, 68, 616, 177, -1
1215, 237, 1047, 262, -1
687, 137, 504, 9, -1
428, 188, 785, 131, -2
963, 143, 726, 149, 1
1200, 223, -98, 18, 2
2, 379, 396, 265, -1
0, 278, 502, 246, -2
1084, 175, 751, 203, 1
1195, 280, 811, 197, 2
724, 171, 731, 157, -2
56, 398, 127, 203, -1
699, 247, 694, 17, -2
1238, 120, 911, 89, 2
645, 176, 1279, 214, 1.5
282, 110, 264, 173, 1.5
203, 215, 447, 201, -1
408, 144, 1278, 244, -1.5
1133, 298, 478, 148, 1.5
406, 132, 609, 148, 1
980, 36, 735, 17, 1
23, 338, 1169, 148, -1
1245, 417, 766, 212, 2
577, 143, 615, 212, -1.5
776, 127, 597, 296, 1
998, 83, 15, 79, -1.5
60, 338, -60, 113, -2
1231, 387, 939, 294, 2
1108, 359, 1047, 166, 1
343, 135, 348, 152, 1
965, 156, 707, 189, 1
1156, 67, 826, 69, 1
497, 140, 501, 56, -1
76, 303, 321, 212, -1.5
479, 242, 652, 233, -2
191, 122, 1106, 12, -1.5
111, 210, 308, 120, -1.5
396, 124, 587, 153, -1.5
716, 114, 476, 241, -1
8, 245, 157, 95, -1.5
43, 436, 100, 299, -1.5
1256, 392, 1139, 241, 1
45, 407, 142, 282, -1.5
377, 30, 537, 10, -1
861, 160, 827, 221, -1.5
743, 92, 614, 145, 1
434, 308, 915, 82, -2
1150, 169, 383, 161, 1
703, 81, 280, 296, -1
160, 166, 400, 171, -1
863, 82, 701, 46, 1
153, 86, 375, 52, -1.5
726, 171, 64, 73, 1
77, 208, 530, 50, -2
116, 204, 66, 50, -1
1256, 193, 991, 73, 1
518, 68, 610, 55, -1.5
37, 265, 85, 26, -1
1218, 123, 246, 16, 2
424, 128, 545, 121, -1
843, 190, 613, 257, 2
847, 40, 514, 210, 1.5
1191, 80, 896, 47, 1
295, 254, -65, 210, -1.5
687, 97, 690, 123, -1
401, 36, 348, 34, 1
1212, 285, 822, 175, 1
65, 299, 863, 208, -1.5
467, 106, 1015, 210, -2
1209, 294, 940, 215, 1.5
948, 113, 865, 97, -1
24, 375, 72, 138, -1
179, 274, 353, 168, -1
57, 197, 242, 48, -1
763, 39, 1049, 258, -1.5
183, 236, 39, 218, -1
373, 146, 1060, 40, -2
1047, 50, 870, 40, -1
1070, 94, 810, 11, 2
239, 209, 334, 204, 1
1010, 222, 936, 285, -1
744, 105, 611, 144, 1
395, 156, 436, 230, 1
1194, 327, 510, 286, 2
9, 127, 266, 83, -1.5
356, 187, 596, 216, 1.5
61, 300, 316, 248, -1
1014, 214, 715, 161, 1
917, 176, 1184, 58, -2
748, 272, 728, 298, -1
1228, 347, 1046, 92, 2
1000, 296, 802, 254, 1
313, 55, 595, 229, -1
277, 191, 320, 257, 2
1194, 327, 1031, 162, 1
32, 206, -47, 229, -1.5
1032, 268, 736, 267, 1
563, 144, 178, 204, 1.5
811, 195, 256, 135, 1.5
1228, 334, 910, 232, 1.5
1205, 327, 915, 72, 2
683, 194, 699, 263, -1.5
-2, 360, 895, 40, -1
409, 245, 817, 154, -2
1258, 159, 389, 279, 1
1055, 105, 854, 22, 1
50, 353, 409, 238, -2
79, 349, 1148, 66, -1
594, 140, 216, 7, -1.5
109, 308, 90, 7, -1
115, 251, 253, 133, -1
484, 12, 849, 257, 1
975, 249, 876, 294, -1.5
16, 365, 109, 122, -2
1189, 298, -53, 122, 1
1251, 175, 191, 38, 1
556, 124, 633, 133, -1
388, 67, 506, 233, 1.5
156, 218, 314, 111, -1
972, 225, 218, 254, 1
156, 214, 393, 172, -1.5
882, 190, 255, 51, -1.5
9, 320, 1229, 177, -1
629, 22, 645, 14, -1
1104, 212, 253, 9, 2
10, 401, 188, 250, -2
522, 101, -32, 9, -1
796, 24, 11, 161, -1.5
605, 48, 455, 56, 1.5
53, 320, 980, 58, -1
54, 374, 587, 270, -2
1105, 106, 804, 11, 2
184, 83, 401, 22, -1.5
1266, 379, 52, 101, 2
1223, 197, 858, 71, 2
540, 70, 620, 102, -1.5
0, 246, 171, 151, -1.5
33, 412, -92, 151, -2
75, 230, -38, 116, -2
26, 398, 311, 274, -2
809, 67, 941, 113, -1
1260, 268, 1064, 113, 1
661, 8, 673, 12, -1
1251, 326, 1228, 237, 1
1194, 184, 1147, 119, 1.5
41, 198, 333, 150, -1
964, 254, 628, 225, 1.5
1196, 75, 645, 2, 1.5
1259, 180, 45, 2, 1
645, 12, 1046, 149, 1.5
62, 312, 367, 284, -1.5
48, 406, 893, 188, -1.5
54, 372, 485, 38, -1
941, 41, 806, 22, -2
156, 211, 215, 150, 1
21, 233, 101, 69, -1.5
200, 229, 263, 228, 1.5
22, 216, 244, 90, -1.5
1209, 340, 1051, 126, 1.5
712, 35, 590, 67, 1
931, 23, 736, 19, 1
115, 253, 6, 24, -1.5
694, 37, 570, 94, 1
37, 439, 261, 215, -1
933, 32, 889, 63, -2
1149, 134, 497, 195, 1
13, 62, 188, 15, -1
1248, 324, 1028, 215, 1
430, 247, 572, 260, -1.5
608, 85, 403, 44, -1
755, 57, 582, 44, 1
883, 131, 541, 259, -2
133, 222, 483, 270, -2
88, 282, 339, 296, -1.5
23, 304, 219, 231, -1.5
1072, 156, 766, 101, 1.5
140, 159, 422, 195, -1
443, 70, -36, 17, -1
772, 89, 601, 129, 1
634, 50, 674, 17, -1
128, 107, -60, 270, -1
601, 19, 1007, 94, 1
846, 56, 668, 65, 1
79, 214, 182, 184, 1
1206, 250, 852, 128, 1.5
1217, 330, 1132, 134, 1
547, 33, 701, 161, -1
1092, 177, 405, 254, -1.5
160, 100, 107, 161, -1
792, 44, 968, 233, -1.5
1153, 420, 838, 296, 1.5
1203, 387, 1234, 261, 1.5
177, 76, 1195, 189, -1
1050, 39, 878, 30, -1.5
221, 137, 109, 63, -1.5
993, 55, 866, 112, -1.5
1171, 252, 966, 49, 1
692, 124, 692, 149, -1
182, 302, 449, 271, -1.5
1019, 82, 1265, 180, -1.5
0, 187, 226, 30, -1.5
392, 160, 551, 197, -1
959, 36, 748, 96, 1
90, 396, 606, 216, -1
584, 161, 463, 216, 1.5
386, 35, 809, 109, -1
76, 335, 241, 216, -1
90, 202, 208, 276, 2
245, 97, 404, 101, -1
558, 239, 1128, 191, 1
1242, 261, 1218, 96, 1
756, 80, 780, 37, -1.5
316, 98, 355, 146, 1.5
868, 245, 1123, 289, -2
179, 196, 867, 22, -2
542, 51, 888, 88, -1
481, 21, 583, 22, -1
1154, 227, 924, 108, 1
1045, 180, 797, 134, 1
30, 238, 189, 44, -1.5
842, 198, 626, 254, 2
730, 54, 599, 32, 1
344, 51, 442, 154, -1.5
456, 83, 604, 88, -1
348, 136, 524, 140, -1.5
943, 293, 289, 3, 1
585, 135, 75, 3, -2
458, 124, 340, 78, -2
293, 143, 725, 190, -1
44, 297, 851, 280, -1.5
117, 53, 209, 52, -1
1112, 86, 807, 38, 1.5
577, 33, 632, 23, -1.5
7, 431, 96, 295, -1.5
1151, 174, 602, 212, 2
1020, 179, 705, 124, 2
1244, 202, 181, 111, 2
14, 303, 41, 111, -1
846, 134, 658, 166, 2
1170, 267, 1035, 181, 1
106, 224, 326, 166, -1.5
1116, 231, 433, 11, 1
1006, 156, 750, 141, 1
138, 225, 519, 126, -2
119, 139, 367, 126, -1.5
657, 218, 681, 172, -1
366, 49, 112, 109, -1.5
1217, 248, 16, 109, -1
224, 55, 223, 84, 1.5
181, 222, 331, 264, 2
383, 175, 561, 285, -1
899, 47, 865, 75, 1
37, 266, 133, 129, -1
536, 101, 470, 74, 1
301, 68, 1113, 79, 1
-3, 264, 280, 119, -1
431, 71, 746, 257, -1
959, 39, 614, 68, -1.5
2, 440, 260, 257, -2
1129, 191, 885, 119, 1
1178, 195, 1055, 68, 1
1207, 365, 1090, 165, 1
252, 107, -62, 197, -1.5
96, 193, 458, 297, -2
90, 224, 474, 119, -2
20, 346, 424, 198, -2
1167, 204, 881, 8, 1
48, 277, 212, 164, -1.5
947, 48, 829, 28, 1
77, 275, -86, 64, -1.5
0, 339, 177, 288, -2
307, 86, 871, 144, -1
575, 106, 688, 202, -1.5
14, 158, 187, 208, -2
11, 422, 154, 294, -1.5
1103, 110, 884, 7, 1
317, 162, 386, 151, 1.5
151, 127, 415, 137, -1.5
472, 68, 470, 133, 1.5
851, 69, 918, 117, -2
1243, 374, 130, 175, 2
627, 89, 1279, 279, 1
391, 131, 1277, 12, 1.5
375, 86, 640, 12, -2
21, 225, 285, 23, -2
658, 73, 570, 20, 1
28, 142, -15, 214, -1.5
803, 136, 794, 131, 2
326, 227, 151, 194, -1
480, 63, 453, 19, 1
1083, 58, 995, 205, 1
923, 247, -39, 93, -1.5
8, 242, 190, 131, -1.5
443, 221, 1222, 102, -2
1, 323, 1261, 84, -1
1001, 143, 348, 256, 1.5
218, 187, 1020, 193, -1.5
579, 58, 976, 153, 1
629, 255, 302, 228, -1
1146, 333, 1105, 176, 1
8, 119, 303, 47, -1
498, 94, 1241, 186, -1.5
96, 126, 364, 130, -2
1245, 382, -85, 70, 2
99, 385, 251, 221, -1.5
178, 283, 365, 195, -1
18, 194, 191, 122, -1
1038, 237, 828, 272, 1
376, 86, 181, 198, 1
719, 70, 831, 77, -1.5
758, 105, 694, 299, -2
652, 161, 281, 294, -1.5
1228, 234, 1099, 17, 1
18, 325, 183, 185, -1
10, 253, 1167, 16, -1.5
89, 184, 345, 140, -1
48, 395, 333, 253, -2
330, 107, -27, 29, -1.5
200, 78, 1043, 59, 1.5
483, 121, 588, 104, -1
1114, 140, 694, 39, 2
